[image];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Hipódromo de Son Pardo 01-02-17
Cuadra Balear;5;BIJOU BRANCH;;J. C. ROTGER;A. Puig R.;2650;Ec6;Dexter Tilly (se)-Meadowbranch Hanna (us);8.606;1.18.6;1211;7(16)-5-0-0-D-D;04.01.17-7-SP-2650-A-1.21.1-S. CONTESTI
Cuadra De Ponent;6;AVANTI CORNER;;S. SALORD;S. Salord;2650;Ca7;Henry Corner (de)-Endi W;9.971;1.16.8;1195;1-6(16)-D-3-1-1;18.01.17-1-SP-2650-A-1.20.2-F. POURREAU
Peña Bonanza;7;BE TE AR;;J. A. RIERA;R. Orfila C.;2650;Cn6;Amadeus Om (it)-Vonita;6.851;1.18.3;1202;2-D-4(16)-1-D-2;18.01.17-2-SP-2650-A-1.20.2-M. MESTRE
Cuadra Es Pou Florit S.l.;8;BROK;;M. A. BINIMELIS;M. A. Binimelis;2650;Cc6;Lodbrok H.h. (se)-Artarita Plu;9.678;1.18.2;1201;0(16)-0-0-4-0-6;11.01.17-0-SP-2650-A-0-M. A. BINIMELIS
Penya Una Cama Perhom;9;CABANETA;;M. RIERA B.;J. Pascual A.;2650;Ec5;Rommel (de)-Bellissima M;5.318;1.19.1;1205;0-D(16)-D-0-D-D;18.01.17-0-SP-2650-A-0-M. RIERA B.
Cuadra Sa Marina Slu;10;BRILLANT TWIST;;M. MESTRE;F. J. Sagrera R.;2650;Cc6;Musigny Degato (se)-Tina Twist;8.492;1.18.7;1200;1-2(16)-6-3-0-0;25.01.17-1-SP-2650-A-1.20.0-G. ANDREU
Cuadra C.p.;11;CUBIC GO;;C. RIERA M. (AP);J. Carreras P.;2650;Cc5;Lets Go (de)-Laguna Blai;8.028;1.17.1;1206;6(16)-6-2-1-0-1;04.01.17-6-SP-2650-A-1.20.6-J. CARRERAS P.
Cuadra Banyols;12;ABACO;;B. TOUS;T. Garcias M.;2650;Cc7;Captain Cook (us)-Raissa Piroska;9.224;1.16.4;1186;(15)-D-D-D-2-5-4;24.03.15-D-SP-2150-A-0-B. SALAS
5ª CARRERA;;Premi LANCANT SM (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 19:55
Al Trote Enganchado;;Distancia 2.650m.;;PLACA ROJA - NUMERO BLANCO;;Matrícula 39€;;;Forfait % del premio;;;Cambio Conductor 18;Autostart
