Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 27-01-2021;Column18;Column19;Column20
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;;
Cuadra Toni I Joan;;1;;VIKING DU GOHLENN (FR);;A. VALLS;A. Janer R.;;2650 Cc12;;Let's Go Along (fr)-Kerale Du Niel (fr);;97.087;1.14.9;1.15.7;2-0(20)-7-4-4-2;20.01.21-2-SP-2650-A-1.15.7-A. VALLS;;
Peña Black;;2;;BLACK (FR);;B. LLOBET R.;B. Llobet R.;;2650 Cc10;;Islero De Bellouet (fr)-Okita (fr);;126.477;1.13.1;1.15.5;0-1(20)-5-0-4-7;20.01.21-0-SP-1650-A-0-B. LLOBET R.;;
Cuadra Samba's Prim & Nico;;3;;CABERLOT (FR);;A. RIERA B.;A. Riera B.;;2650 Cc9;;Vivaldi De Chenu (fr)-Iolina Des Vergnes (fr);;150.035;1.12.9;;;Debutant;;
Penya Datil;;4;;VITAL (FR);;F. BENNASAR;M. Salleras;;2650 Ca12;;Nice Love (fr)-Karlotta (fr);;133.026;1.13.9;1.14.5;2(20)-7-1-0-5-3;06.01.21-2-SP-2650-A-1.16.4-F. BENNASAR;;
Peña Bonanza;;5;;ASAP POWER (FR);;G. ANDREU;Mª. Riera M.;;2650 Cc11;;Ready Cash (fr)-Liana Blue (fr);;131.699;1.14.1;1.15.3;4(20)-0-5-0-4-3;06.01.21-4-SP-2650-A-1.16.5-G. ANDREU;;
Cuadra Des Bosc;;6;;ALREADY DU POLI (FR);DA;A. FRONTERA;A. Frontera;;2650 Cc11;;Ready Cash (fr)-Fontaine Du Poli (fr);;126.358;1.14.4;1.15.7;D(20)-3-D-0-4-0;06.01.21-D-SP-2650-A-0-A. FRONTERA;;
Cuadra Berardi Ivan Vittorio;;7;;ANICET LE FOL (FR);D4;D. OLIVER;J. Janer M.;;2650 Cc11;;Look De Star (fr)-Odile Folle (fr);;144.174;1.12.8;1.14.8;4-1(20)-3-1-0-4;20.01.21-4-SP-1650-A-1.13.3-D. OLIVER;;
Cuadra Son Ferragut;;8;;BARMAN D'EGLEFIN (FR);;C. CRUELLAS;G. Cruellas;;2650 Cc10;;Overtrick (fr)-Marikina (fr);;123.214;1.13.9;1.14.6;3(20)-1-2-6-6-7;06.01.21-3-SP-2650-A-1.16.5-C. CRUELLAS;;
Quadra Qualitrot;;9;E1;CACTUS JACK (FR);;M. RIERA B.;A. Vaquer S.;;2650 Cc9;;Ganymede (fr)-Osee De Brevol (fr);;101.623;1.14.0;1.14.7;(20)-0-0-2-3-1-1;30.12.20-0-SP-2150-A-0-M. RIERA B.;;
