2_2-06-2017,2,7,6,0.0,8.0,4.0,3.0,1.0,5.0,,,,,,,,,,,
2_20-01-2013,3,6,2,8.0,7.0,1.0,0.0,4.0,5.0,,,,,,,,,,,
2_20-06-2018,4,2,6,7.0,8.0,5.0,3.0,1.0,0.0,,,,,,,,,,,
2_21-05-2017,2,5,6,3.0,1.0,0.0,4.0,,,,,,,,,,,,,
2_21-07-2014,5,4,1,2.0,3.0,0.0,,,,,,,,,,,,,,
2_21-07-2016,2,4,1,3.0,5.0,6.0,0.0,,,,,,,,,,,,,
2_21-08-2011,0,6,1,2.0,4.0,3.0,5.0,,,,,,,,,,,,,
2_23-03-2014,0,13,3,4.0,15.0,14.0,11.0,12.0,5.0,7.0,10.0,9.0,1.0,8.0,6.0,2.0,16.0,,,
2_23-04-2017,8,6,9,0.0,11.0,7.0,3.0,5.0,4.0,1.0,2.0,10.0,12.0,,,,,,,
2_23-05-2021,7,1,3,2.0,6.0,8.0,5.0,9.0,0.0,4.0,,,,,,,,,,
2_23-09-2012,6,11,3,10.0,9.0,2.0,7.0,5.0,0.0,1.0,4.0,8.0,,,,,,,,
2_23-10-2011,6,4,7,3.0,2.0,9.0,1.0,8.0,0.0,5.0,,,,,,,,,,
2_23-10-2016,5,1,2,4.0,0.0,6.0,3.0,,,,,,,,,,,,,
2_23-11-2014,2,4,11,6.0,0.0,3.0,8.0,7.0,1.0,5.0,9.0,10.0,12.0,,,,,,,
2_24-05-2018,2,6,7,5.0,0.0,1.0,3.0,8.0,4.0,,,,,,,,,,,
2_24-11-2016,2,10,0,1.0,8.0,4.0,7.0,5.0,3.0,6.0,9.0,,,,,,,,,
2_24-12-2011,3,5,4,2.0,0.0,1.0,6.0,8.0,7.0,,,,,,,,,,,
2_25-07-2013,2,0,4,1.0,3.0,5.0,6.0,,,,,,,,,,,,,
2_25-09-2011,4,6,0,7.0,2.0,5.0,1.0,3.0,,,,,,,,,,,,
2_26-01-2014,7,5,3,6.0,2.0,1.0,0.0,4.0,,,,,,,,,,,,
2_26-02-2017,8,2,1,9.0,4.0,0.0,11.0,3.0,5.0,7.0,10.0,6.0,,,,,,,,
2_26-03-2021,6,3,1,0.0,4.0,2.0,7.0,5.0,,,,,,,,,,,,
2_26-07-2012,5,7,2,1.0,6.0,4.0,0.0,3.0,,,,,,,,,,,,
2_26-08-2011,11,2,8,7.0,4.0,12.0,1.0,9.0,5.0,0.0,10.0,3.0,6.0,,,,,,,
2_27-05-2012,0,2,4,1.0,3.0,,,,,,,,,,,,,,,
2_27-11-2020,3,7,1,0.0,6.0,8.0,4.0,5.0,2.0,,,,,,,,,,,
2_28-02-2016,0,7,6,2.0,4.0,1.0,3.0,5.0,,,,,,,,,,,,
2_28-06-2013,6,0,1,2.0,3.0,5.0,4.0,,,,,,,,,,,,,
2_28-07-2012,2,4,6,0.0,3.0,5.0,1.0,,,,,,,,,,,,,
2_29-04-2011,4,8,3,5.0,1.0,0.0,7.0,2.0,6.0,,,,,,,,,,,
2_29-05-2016,2,4,5,3.0,6.0,1.0,0.0,,,,,,,,,,,,,
2_29-07-2011,3,2,5,0.0,4.0,1.0,,,,,,,,,,,,,,
2_29-08-2013,4,0,3,2.0,1.0,,,,,,,,,,,,,,,
2_29-08-2016,5,0,2,3.0,1.0,4.0,6.0,,,,,,,,,,,,,
2_29-11-2015,7,2,1,0.0,4.0,5.0,3.0,6.0,,,,,,,,,,,,
