3_05-01-2014,USAQUEN (FR),2,6.0,58.0,A.GOMEZ,AFRICA,"ALVAREZ, M.",3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
3-05-01-2014,USAQUEN (FR),2,6.0,58.0,A.GOMEZ,AFRICA,"ALVAREZ, M.",3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
2_21-07-2012,VRAIZEM,5,4.0,53.0,A.GOMEZ,AFRICA,R. LOPEZ,3,HIPODROMO COSTA DEL SOL,1600,ARENA
3_05-11-2015,WINKL SIDE,5,5.0,56.0,A.GOMEZ,AFRICA,O. ANAYA,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
5_31-12-2011,CORCUBION,3,7.0,59.5,A.GOMEZ,AFRICA,J.C. LOPERA,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
2_31-12-2011,GASPARIÑO,7,2.0,55.0,A.GOMEZ,AFRICA,J. A. RODRÍGUEZ,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1200,HIERBA
3_31-12-2011,LONGUEIRON,8,2.0,55.0,A.GOMEZ,AFRICA,J. C. LOPERA,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
5_20-11-2011,TAGOMAGO,9,3.0,57.0,A.GOMEZ,AFRICA,G. ARIZCORRETA,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
4_15-01-2012,HANDSOME HUGO,5,4.0,51.0,A.GOMEZ,AFRICA,J.C. LOPERA,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
2_03-08-2012,JUAN DANIEL,8,3.0,51.0,A.GOMEZ,AFRICA,J. CALDERON,5,HIPODROMO COSTA DEL SOL,1400,ARENA
4_24-12-2011,ARIZA,2,4.0,53.0,A.GOMEZ,AFRICA,T. MARTINS,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
3_24-12-2011,MISS CLAUS,9,3.0,50.0,A.GOMEZ,AFRICA,J. CALDERÓN,12,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
3_26-02-2012,MIMBRERA,8,4.0,51.0,A.GOMEZ,AFRICA,B. RAMA,2,HIPODROMO COSTA DEL SOL,1600,ARENA
4_18-12-2016,JAROCHO,3,4.0,52.0,A.GOMEZ,AFRICA,F. PEREZ,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
1_22-01-2012,EXPATBET (GB),3,3.0,52.5,A.GOMEZ,AFRICA,P.HALEY,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_19-05-2016,SAMSARA,8,7.0,51.0,A.GOMEZ,AFRICA,L.A. OLIVEIRA,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1900,ARENA
2_08-01-2012,XAMURAY,3,8.0,51.0,A.GOMEZ,AFRICA,I. GOMEZ,10,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_18-12-2011,XAMURAY,4,7.0,53.0,A.GOMEZ,AFRICA,I. GÓMEZ,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
2_04-12-2011,XAMURAY,9,7.0,53.0,A.GOMEZ,AFRICA,I. GÓMEZ,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
3_20-11-2011,MISS CLAUS,17,3.0,54.0,A.GOMEZ,AFRICA,J. CALDERÓN,16,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
5_09-11-2017,FIGUEIRAS,6,7.0,51.0,A.GOMEZ,AFRICA,S. SARRIAS,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
1_12-02-2012,LADYKIN (IRE),3,3.0,56.5,A.GOMEZ,AFRICA,A. CARRASCO,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
3_08-01-2012,PADRON,1,4.0,55.0,A.GOMEZ,AFRICA,J. C. LOPERA,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
2_20-11-2011,VAL DA MAHIA,6,3.0,56.0,A.GOMEZ,AFRICA,J.M BORREGO,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
1_31-12-2011,ESQUIO,4,4.0,56.0,A.GOMEZ,AFRICA,J. C. LOPERA,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_08-01-2012,AROUSA,2,5.0,56.0,A.GOMEZ,AFRICA,J. C. LOPERA,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
1_26-02-2012,MAYERLING (FR),4,4.0,56.0,A.GOMEZ,AFRICA,I. GOMEZ,7,HIPODROMO COSTA DEL SOL,2100,ARENA
3_04-12-2011,EL GUAJE (IRE),12,5.0,56.0,A.GOMEZ,AFRICA,H. LÓPEZ,11,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
4_20-11-2011,GALUA (IRE),9,6.0,56.0,A.GOMEZ,AFRICA,R. LÓPEZ,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
4_26-02-2012,PADRON,4,4.0,56.0,A.GOMEZ,AFRICA,J. C. LOPERA,4,HIPODROMO COSTA DEL SOL,1600,ARENA
3_19-02-2012,COVELO,3,7.0,57.0,A.GOMEZ,AFRICA,J. C. LOPERA,4,HIPODROMO COSTA DEL SOL,1800,HIERBA
2_19-02-2012,CUENTISTA,8,3.0,57.0,A.GOMEZ,AFRICA,I. GOMEZ,13,HIPODROMO COSTA DEL SOL,2000,HIERBA
2_5-02-2012,BOMBADIL (IRE),7,5.0,59.0,A.GOMEZ,AFRICA,J. CALDERON,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1000,HIERBA
1_19-02-2012,OHCAPTAINMYCAPTAIN (FR),3,3.0,58.0,A.GOMEZ,AFRICA,J. M. BORREGO B.,1,HIPODROMO COSTA DEL SOL,1300,HIERBA
4_04-12-2011,VENTURA,11,3.0,58.0,A.GOMEZ,AFRICA,O. RODRÍGUEZ,12,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
4_22-01-2012,ISAMAN (GB),7,5.0,59.0,A.GOMEZ,AFRICA,I. GOMEZ,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_31-12-2011,ILLIZMIT (FR),5,6.0,59.0,A.GOMEZ,AFRICA,J. C. LOPERA,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
5_15-01-2012,CORCUBION,2,7.0,61.0,A.GOMEZ,AFRICA,J.C. LOPERA,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
3_12-02-2012,PADRON,3,4.0,62.0,A.GOMEZ,AFRICA,J. C. LOPERA,10,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_19-02-2012,ARIZA,3,5.0,63.0,A.GOMEZ,AFRICA,T. MARTINS,2,HIPODROMO COSTA DEL SOL,1300,HIERBA
3_5-02-2012,BARROCCO,10,6.0,63.0,A.GOMEZ,AFRICA,J. L. VALVERDE,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_12-02-2012,CORCUBION,3,7.0,63.0,A.GOMEZ,AFRICA,J. C. LOPERA,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
3_18-12-2011,ILUSIONISTA,6,5.0,65.0,A.GOMEZ,AFRICA,I. GÓMEZ,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
5_05-11-2015,FAVOURITE GIRL (POR),7,5.0,54.5,A.GOMEZ,AFRICA,C. ALVES,7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,ARENA
