1_01-12-2013,AELITA,6,2.0,56.0,J.HORCAJADA,LYJAALONSO,J.C.FERNANDEZ,7,HIPODROMO LA ZARZUELA,1200,HIERBA
2_21-08-2014,AELITA,4,3.0,55.5,O.O.URBINA,LYJAALONSO,J.C.FERNANDEZ,1,HIPODROMO LA ZARZUELA,1200,ARENA-FIBRA
2_24-07-2014,AELITA,6,3.0,55.5,SRTA.ALONSO.B,LYJAALONSO,J.C.FERNANDEZ,3,HIPODROMO LA ZARZUELA,1200,ARENA-FIBRA
2_23-03-2014,AELITA,11,3.0,56.0,SRTA.ALONSO.B,LYJAALONSO,J.C.FERNANDEZ,15,HIPODROMO LA ZARZUELA,1600,HIERBA
2_23-10-2016,AFFOBURG (FR),4,2.0,57.0,H.JOURNIAC,ALAINJATHIERE,S.BROGI,4,HIPODROMO LA ZARZUELA,1600,HIERBA
2_02-12-2012,AFRICAN SEA (USA),13,2.0,53.5,M.GOMES,CHICAGO,M.DELCHER.S,11,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
5_12-06-2011,AGADIR,2,3.0,55.5,J.L.BORREGO,NAVELLOS,J.L.DESALAS,16,HIPODROMO LA ZARZUELA,1600,HIERBA
5_29-05-2016,AGAINCHARLIE (FR),2,3.0,57.0,A.LEMAITRE,BLOKE,CH.DELCHER,9,HIPODROMO LA ZARZUELA,2400,HIERBA
5_27-11-2016,AGAINCHARLIE (FR),1,3.0,57.0,F.X.BERTRAS,BLOKE,CH.DELCHER,1,HIPODROMO LA ZARZUELA,2800,HIERBA
5_23-10-2016,AGAINCHARLIE (FR),1,3.0,55.5,G.BENOIST,BLOKE,CH.DELCHER,7,HIPODROMO LA ZARZUELA,2400,HIERBA
2_28-07-2012,AGALA CANARIAS (IRE),6,3.0,55.5,M.SECCI,ENTREAMIGOS,M.AUGELLI,5,HIPODROMO COSTA DEL SOL,2100,ARENA
3_16-09-2012,AGALA CANARIAS (IRE),8,3.0,53.5,J.HORCAJADA,ENTREAMIGOS,M.AUGELLI,7,HIPODROMO LA ZARZUELA,2100,HIERBA
3_30-09-2012,AGALA CANARIAS (IRE),9,3.0,56.0,J.L.MARTINEZ,ENTREAMIGOS,M.AUGELLI,18,HIPODROMO LA ZARZUELA,1800,HIERBA
2_28-06-2012,AGALA CANARIAS (IRE),2,3.0,60.0,M.SECCI,ENTREAMIGOS,M.AUGELLI,7,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
3_14-06-2012,AGALA CANARIAS (IRE),5,3.0,55.0,M.SECCI,ENTREAMIGOS,M.AUGELLI,5,HIPODROMO LA ZARZUELA,2300,ARENA-FIBRA
4_19-07-2012,AGALA CANARIAS (IRE),8,3.0,58.0,M.SECCI,ENTREAMIGOS,M.AUGELLI,4,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
1_23-10-2011,AGALA CANARIAS (IRE),9,2.0,55.0,M.GOMES,GRBOLAÑOSGRCANARIA,E.LEON,6,HIPODROMO LA ZARZUELA,1600,HIERBA
2_19-02-2012,AGALA CANARIAS (IRE),4,3.0,55.5,E.MELIAN,GRBOLAÑOSGRCANARIA,E.LEON,2,HIPODROMO COSTA DEL SOL,2000,HIERBA
2_02-10-2011,AGALA CANARIAS (IRE),8,2.0,57.0,J.L.MARTINEZ,GRBOLAÑOSGRCANARIA,E.LEON,2,HIPODROMO LA ZARZUELA,1400,HIERBA
3_31-12-2011,AGALA CANARIAS (IRE),7,2.0,53.5,M.GOMES,GRBOLAÑOSGRCANARIA,E.LEON,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
2_25-04-2021,AGAMENON,10,3.0,56.0,C.A.LOAIZA,ELPLACAJE,L.ENNOUNI,6,HIPODROMO LA ZARZUELA,1800,HIERBA
2_23-05-2021,AGAMENON,4,3.0,57.0,F.JIMENEZ,ELPLACAJE,L.ENNOUNI,6,HIPODROMO LA ZARZUELA,1600,HIERBA
4_26-06-2021,AGAMENON,1,3.0,53.0,V.SEGUY,ELPLACAJE,L.ENNOUNI,3,HIPODROMO LA ZARZUELA,1400,HIERBA
5_23-11-2014,AGENA (IRE),13,3.0,61.5,J.L.BORREGO,ALTAMIRA,J.A.RODRIGUEZ,11,HIPODROMO LA ZARZUELA,1400,HIERBA
5_22-04-2012,AGORA,8,3.0,55.0,J.M.SANCHEZ.C,CIELODEMADRID,O.RODRIGUEZ,9,HIPODROMO LA ZARZUELA,2100,HIERBA
2_30-10-2011,AGORA,12,2.0,55.5,R.H.HUAYAS,CIELODEMADRID,O.RODRIGUEZ,2,HIPODROMO LA ZARZUELA,1600,HIERBA
3_18-05-2012,AGORA,12,3.0,59.0,SRTA.GUTIERREZ.A,CIELODEMADRID,O.RODRIGUEZ,7,HIPODROMO LA ZARZUELA,1600,ARENA-FIBRA
2_24-11-2016,AGREEABLE LADY (IRE),10,4.0,53.0,N.DE.JULIAN,LASAGUILAS,PROP.ART.26,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
5_05-05-2016,AGREEABLE LADY (IRE),5,4.0,56.0,N.DE.JULIAN,LASAGUILAS,T.CALLEJO.M,7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1300,ARENA
3_14-10-2012,AGUAMARINA (IRE),2,3.0,54.5,A.GOMEZ,GUIMAR,R.LOPEZ,2,HIPODROMO LA ZARZUELA,1500,HIERBA
4_23-09-2012,AGUAMARINA (IRE),3,3.0,53.5,A.GOMEZ,GUIMAR,R.LOPEZ,1,HIPODROMO LA ZARZUELA,1400,HIERBA
4_06-10-2013,AGUAMARINA (IRE),4,4.0,59.0,M.GOMES,GUIMAR,F.PEREZ,2,HIPODROMO LA ZARZUELA,1800,HIERBA
4_22-09-2013,AGUAMARINA (IRE),8,4.0,56.0,M.GOMES,GUIMAR,F.PEREZ,12,HIPODROMO LA ZARZUELA,1600,HIERBA
2_21-08-2011,AGUAMARINA (IRE),3,2.0,55.0,J.CROCQUEVIEILLE,ROBLEDAL,S.VIDAL,8,HIPODROMO DE SAN SEBASTIAN,1400,HIERBA
2_02-11-2014,AGUSTINA (GB),7,4.0,61.5,SRTA.RODRIGUEZ.G,MAES,M.A.MARIN,7,HIPODROMO LA ZARZUELA,2000,HIERBA
4_10-08-2014,AGUSTINA (GB),3,4.0,60.0,J.GELABERT,PAGANINI,T.CALLEJO,1,HIPODROMO DE SAN SEBASTIAN,2000,HIERBA
2_16-09-2012,AGUSTINA (GB),6,2.0,56.0,F.JIMENEZ,PAGANINI,T.CALLEJO.S,2,HIPODROMO LA ZARZUELA,1400,HIERBA
4_17-11-2013,AGUSTINA (GB),8,3.0,52.0,I.JANACKOVA,PAGANINI,T.CALLEJO.S,3,HIPODROMO LA ZARZUELA,2200,HIERBA
4_23-02-2014,AGUSTINA (GB),8,4.0,56.0,J.CROCQUEVIEILLE,PAGANINI,T.CALLEJO.S,8,HIPODROMO LA ZARZUELA,1800,HIERBA
5_22-09-2013,AGUSTINA (GB),10,3.0,55.0,J.GROSJEAN,PAGANINI,T.CALLEJO.S,2,HIPODROMO LA ZARZUELA,2200,HIERBA
4_01-06-2014,AGUSTINA (GB),7,4.0,57.0,O.O.URBINA,PAGANINI,T.CALLEJO.S,8,HIPODROMO LA ZARZUELA,2100,HIERBA
3_23-03-2014,AHORA NO (GB),8,5.0,60.0,A.GOMEZ,ESTACIONTURF,I.GOMEZ,7,HIPODROMO LA ZARZUELA,2200,HIERBA
4_19-05-2013,AHORA NO (GB),10,4.0,57.0,A.GOMEZ,FORMENTOR,J.M.OSORIO,5,HIPODROMO LA ZARZUELA,1600,HIERBA
3_01-12-2013,AHORA NO (GB),10,4.0,57.0,F.JIMENEZ,FORMENTOR,J.M.OSORIO,15,HIPODROMO LA ZARZUELA,1600,HIERBA
3_14-10-2012,AHORA NO (GB),4,3.0,54.5,J.CROCQUEVIEILLE,FORMENTOR,J.M.OSORIO,8,HIPODROMO LA ZARZUELA,1500,HIERBA
3_17-11-2013,AHORA NO (GB),16,4.0,61.0,J.CROCQUEVIEILLE,FORMENTOR,J.M.OSORIO,3,HIPODROMO LA ZARZUELA,1600,HIERBA
5_16-09-2012,AHORA NO (GB),4,3.0,54.5,J.CROCQUEVIEILLE,FORMENTOR,J.M.OSORIO,3,HIPODROMO LA ZARZUELA,1600,HIERBA
3_28-07-2012,AHORA NO (GB),2,3.0,55.5,J.E.JARCOVSKY,FORMENTOR,J.M.OSORIO,7,HIPODROMO COSTA DEL SOL,1600,ARENA
4_11-05-2014,AHORA NO (GB),8,5.0,50.0,J.GELABERT,FORMENTOR,I.GOMEZ,2,HIPODROMO LA ZARZUELA,1600,HIERBA
4_12-01-2014,AHORA NO (GB),6,5.0,55.0,R.SOUSA,FORMENTOR,M.ALVAREZ,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_7-09-2014,AHORA NO (GB),3,5.0,59.0,M.GOMES,JM,A.CARRASCO,1,HIPODROMO DE SAN SEBASTIAN,2200,HIERBA
4_08-06-2014,AHORA NO (GB),10,5.0,59.0,J.L.BORREGO,JM,A.CARRASCO,8,HIPODROMO LA ZARZUELA,1600,HIERBA
4_07-08-2014,AHORA NO (GB),7,5.0,62.0,O.O.URBINA,JM,A.CARRASCO,6,HIPODROMO LA ZARZUELA,1800,ARENA-FIBRA
5_24-07-2014,AHORA NO (GB),3,5.0,58.0,V.JANACEK,JM,A.CARRASCO,4,HIPODROMO LA ZARZUELA,1650,ARENA-FIBRA
7_26-10-2014,AHORA NO (GB),4,5.0,54.0,V.JANACEK,JM,A.CARRASCO,1,HIPODROMO LA ZARZUELA,1800,HIERBA
2_11-07-2016,AI RIMM AL (FR),5,4.0,57.0,C.CADEL,ROBER,R.AVIAL,6,HIPODROMO DE SAN SEBASTIAN,1400,HIERBA
4_29-08-2016,AI RIMM AL (FR),6,4.0,56.0,C.CADEL,ROBER,R.AVIAL,2,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
4_10-09-2016,AI RIMM AL (FR),10,4.0,54.5,R.C.MONTENEGRO,ROBER,R.AVIAL,9,HIPODROMO DE SAN SEBASTIAN,1500,HIERBA
2_03-07-2016,AI RIMM AL (FR),7,4.0,62.5,SR.ALONSO.M,ROBER,R.AVIAL,6,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
2_21-08-2016,AIL NEUK,8,5.0,52.0,C.A.LOAIZA,ELSABLE,E.PUENTE,8,HIPODROMO DE SAN SEBASTIAN,2200,HIERBA
